describe,evaluate,introduce,movie_name,num,star
传说的开始。,341637人评价,2001/新西兰美国/剧情动作奇幻冒险,指环王1：魔戒再现,52,8.9
人生不能像做菜，把所有的料都准备好了才下锅。,233885人评价,1994/台湾美国/剧情家庭,饮食男女,53,9.1
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,546895人评价,2016/印度/剧情传记运动家庭,摔跤吧！爸爸,54,9.1
暗恋的极致。,424147人评价,1995/日本/剧情爱情,情书,55,8.8
往事如烟，无处祭奠。,197682人评价,1984/意大利美国/犯罪剧情,美国往事,56,9.1
动物版《哈姆雷特》。,319041人评价,1994/美国/剧情动画冒险歌舞家庭,狮子王,57,8.9
音乐能化解仇恨。,226751人评价,2002/法国德国英国波兰/剧情传记历史战争音乐,钢琴家,58,9.0
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,216059人评价,2013/韩国/剧情,素媛,59,9.1
法式小清新。 ,533421人评价,2001/法国德国/喜剧爱情,天使爱美丽,60,8.7
奔跑的孩子是天使。,160050人评价,1997/伊朗/剧情家庭儿童,小鞋子,61,9.2
警察抓小偷，老鼠玩死猫。,480590人评价,1995/美国/剧情犯罪悬疑惊悚,七宗罪,62,8.7
以戏谑来戏谑戏谑。,333924人评价,2006/日本/剧情歌舞,被嫌弃的松子的一生,63,8.9
孪生蝙蝠侠大战克隆金刚狼。,387275人评价,2006/美国英国/剧情悬疑惊悚,致命魔术,64,8.8
在时间之河里感受溺水之苦。,439708人评价,2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,65,8.8
用音乐化解仇恨，让歌声串起美好。,258145人评价,1965/美国/剧情传记爱情歌舞,音乐之声,66,8.9
史诗大片的典范。,322060人评价,1995/美国/动作传记剧情历史战争,勇敢的心,67,8.8
美丽无罪。,401155人评价,2000/意大利美国/剧情战争情色,西西里的美丽传说,68,8.8
浪漫忧郁的成人童话。,538136人评价,1990/美国/剧情奇幻爱情,剪刀手爱德华,69,8.7
视觉革命。,317467人评价,1999/美国澳大利亚/动作科幻,黑客帝国,70,8.8
故事的高级讲法。,377012人评价,1994/美国/剧情喜剧犯罪,低俗小说,71,8.8
美利坚精神输出大片No1.,271247人评价,1998/美国/剧情历史战争,拯救大兵瑞恩,72,8.9
安东尼·霍普金斯的顶级表演。,394562人评价,1991/美国/剧情犯罪惊悚,沉默的羔羊,73,8.7
你给我翻译翻译，神马叫做TMD的惊喜。,703538人评价,2010/中国大陆香港/剧情喜剧动作西部,让子弹飞,74,8.7
你以为你以为的就是你以为的。,405423人评价,2016/西班牙/剧情犯罪悬疑惊悚,看不见的客人,75,8.7
